geometry,Adres,Plaats,Gebruiksdoel,Objectsoort,FUNCTIE,FUNCTIE_ID,Oppervlakte,HEX,Buurtcode,Verblijfsobject
POINT (52.364622 4.8506781),Orteliuskade 4M,Amsterdam,overige gebruiksfunctie,,Onduidelijk,Q,105,5,EM03,0363010012101378
POINT (52.35116 4.850847),Hoofddorpweg 28/H,Amsterdam,winkelfunctie,Opslag/magazijn|Winkel/verkoopruimte,Detailhandel,D,85,5,KA03,0363010000670640
POINT (52.379074 4.850519),Grianestraat 1A,Amsterdam,winkelfunctie,Winkel/verkoopruimte,Detailhandel,D,54,4,EE01,0363010012067317
POINT (52.350891 4.8508651),Hoofddorpweg 23/H,Amsterdam,winkelfunctie,Winkel/verkoopruimte,Detailhandel,D,75,4,KA05,0363010000670622
POINT (52.36864 4.850651),Van Spilbergenstraat 147/H,Amsterdam,bijeenkomstfunctie,Cafe/bar|Overige ruimten,Horeca,H,68,4,EM01,0363010000847297
POINT (52.3786251 4.85053),Bos en Lommerweg 259/H,Amsterdam,bijeenkomstfunctie,Opslag/magazijn|Restaurant,Horeca,H,88,5,EF02,0363010000593399
POINT (52.351745 4.8508841),Legmeerstraat 82/H,Amsterdam,winkelfunctie,Winkel/verkoopruimte,Detailhandel,D,89,5,KA03,0363010001022717
POINT (52.361675 4.850764),Corantijnstraat 27,Amsterdam,industriefunctie,Winkel/verkoopruimte,Detailhandel,D,136,5,ER01,0363010000608882
POINT (52.353542 4.8508771),Weissenbruchstraat 16/H,Amsterdam,winkelfunctie,Opslag/magazijn|Winkel/verkoopruimte,Detailhandel,D,55,4,KA03,0363010000864871
POINT (52.356202 4.850845),Floris Versterstraat 14,Amsterdam,winkelfunctie,Winkel/verkoopruimte,Detailhandel,D,86,5,KA02,0363010000637143
POINT (52.3896971 4.850441),Condensatorweg 42,Amsterdam,industriefunctie,Kantoor|Opslag/magazijn|Werkplaats,Bedrijven,B,1096,9,EA02,0363010000607988
POINT (52.392555 4.850406),Isolatorweg 25,Amsterdam,bijeenkomstfunctie,Kantine|Kantoor|Keuken|Opslag/magazijn|Restaurant|Sanitaire ruimte,Horeca,H,475,7,EA01,0363010001026751
POINT (52.350882 4.8509241),Hoofddorpweg 21/H,Amsterdam,winkelfunctie,Winkel/verkoopruimte,Detailhandel,D,133,5,KA05,0363010001020277
POINT (52.378643 4.8505891),Bos en Lommerweg 257,Amsterdam,winkelfunctie,Opslag/magazijn|Winkel/verkoopruimte,Detailhandel,D,152,5,EF02,0363010000593395
POINT (52.3818249 4.8505501),Hertspieghelweg 55,Amsterdam,onderwijsfunctie,Schoolgebouw,Onderwijs,O,826,8,EE01,0363010000666103
POINT (52.351161 4.8509351),Hoofddorpweg 26/H,Amsterdam,winkelfunctie,Kantoor|Opslag/magazijn|Winkel/verkoopruimte,Detailhandel,D,115,5,KA03,0363010000670633
POINT (52.3619181 4.850805),Van Walbeeckstraat 67,Amsterdam,winkelfunctie,Opslag/magazijn|Winkel/verkoopruimte,Detailhandel,D,87,5,ER01,0363010000848483
POINT (52.3703569 4.8507039),Mercatorplein 90,Amsterdam,winkelfunctie,Winkel/verkoopruimte,Detailhandel,D,220,6,EK03,0363010000648892
POINT (52.379102 4.850598),Bos en Lommerweg 232,Amsterdam,winkelfunctie,Winkel/verkoopruimte,Detailhandel,D,30,4,EE01,0363010000593353
POINT (52.390801 4.8504629),Isolatorweg 17,Amsterdam,bijeenkomstfunctie|kantoorfunctie,Werkruimte,Bedrijven,B,2087,10,EA02,0363010012064600
POINT (52.359887 4.850845),Antillenstraat 32,Amsterdam,winkelfunctie,Opslag/magazijn|Winkel/verkoopruimte,Detailhandel,D,124,5,ER01,0363010000570681
